7,3397.75,731.46,41.88999999999990,100.55000000000000,3531.92,540.48,22.790000000000000,49.610000000000000,3603.11,693.47,43.32999999999990,86.92000000000000,4021.06,689.27,43.09999999999990,96.59000000000010,3764.12,612.88,33.43000000000030,63.15000000000000,3894.72,585.87,25.100000000000400,59.85000000000000,3996.49,540.59,30.95000000000030,42.309999999999900,4264.12,612.64,44.94000000000050,72.75,3782.05,502.77,19.1899999999996,37.77000000000000,3524.06,501.88,17.559999999999900,34.040000000000000,3533.54,704.19,46.809999999999900,103.28000000000000,3785.56,716.37,50.74000000000020,95.43000000000000,3898.27,671.9,46.34000000000020,81.09000000000000,4007.26,599.79,46.20999999999960,74.77000000000000,3628.33,622.65,50.07999999999990,73.18000000000010,3097.75,626.52,62.409999999999900,93.62,3371.68,540.55,27.95000000000030,48.59000000000000,3411.04,511.33,20.44000000000010,36.53000000000000,3737.3,562.39,22.73000000000000,49.07000000000010,2786.68,524.91,26.76000000000020,42.24000000000000,3845.36,754.85,17.65000000000010,16.780000000000000,3897.67,549.67,21.5,45.5,4369.34,558.64,19.26000000000020,42.80000000000010
8,3398.48,731.46,41.88999999999990,100.55000000000000,3531.65,540.39,22.790000000000000,49.610000000000000,3603.13,693.36,43.73999999999980,85.31999999999990,4016.52,688.57,43.09999999999990,96.59999999999990,3764.53,612.94,33.4399999999996,63.16000000000000,3894.71,585.87,25.090000000000100,59.85000000000000,3996.9,540.7,30.96000000000000,42.319999999999900,4262.97,612.61,44.9399999999996,72.75,3782.4,502.83,19.19000000000010,37.77000000000000,3524.01,501.87,17.559999999999900,34.040000000000000,3534.08,705.16,46.809999999999900,103.27000000000000,3784.92,716.55,50.73999999999980,95.43000000000010,3896.76,671.47,46.33999999999970,81.07999999999990,4006.78,599.81,45.87999999999970,74.75,3626.73,622.31,50.07999999999990,73.18000000000010,3096.19,626.52,62.409999999999900,93.62,3371.08,540.53,27.95000000000030,48.59000000000000,3411.52,511.36,20.42999999999980,36.53000000000000,3737.38,562.3,22.73000000000000,49.07000000000010,2785.75,524.88,26.76000000000020,42.24000000000000,3839.67,756.26,17.65000000000010,16.780000000000000,3898.09,549.65,21.5,45.51000000000000,4369.34,558.62,19.26000000000020,42.79000000000000
9,3399.2,731.46,41.89000000000030,100.55000000000000,3531.38,540.3,22.799999999999700,49.610000000000000,3603.15,693.26,44.159999999999900,83.70000000000010,4011.98,687.88,43.09999999999990,96.59000000000010,3764.94,613.01,33.440000000000100,63.16000000000000,3894.69,585.87,25.09999999999990,59.85000000000000,3997.31,540.82,30.96000000000000,42.309999999999900,4261.82,612.58,44.94000000000050,72.75,3782.75,502.9,19.19000000000010,37.77000000000000,3523.96,501.86,17.559999999999900,34.040000000000000,3534.63,706.13,46.79999999999970,103.27000000000000,3784.28,716.72,50.75,95.43999999999990,3895.25,671.03,46.34000000000020,81.09000000000000,4006.3,599.83,45.54999999999970,74.7299999999999,3625.13,621.96,50.07999999999990,73.18999999999990,3094.63,626.52,62.409999999999900,93.62,3370.48,540.51,27.94999999999980,48.59000000000000,3411.99,511.39,20.44000000000010,36.53000000000000,3737.46,562.21,22.73999999999980,49.069999999999900,2784.82,524.84,26.759999999999800,42.24000000000000,3833.99,757.67,17.65000000000010,16.780000000000100,3898.52,549.64,21.5,45.51000000000000,4369.34,558.59,19.25,42.79000000000000
10,3399.93,731.46,41.89000000000030,100.55000000000000,3531.12,540.21,22.790000000000000,49.59999999999990,3603.17,693.15,44.56999999999970,82.09000000000000,4007.44,687.18,43.09999999999990,96.59000000000010,3765.36,613.08,33.42999999999980,63.15000000000000,3894.68,585.87,25.100000000000400,59.85000000000000,3997.72,540.93,30.96000000000000,42.31000000000010,4260.68,612.55,44.92999999999940,72.75,3783.1,502.97,19.19000000000010,37.77000000000000,3523.91,501.85,17.559999999999900,34.040000000000000,3535.17,707.1,46.809999999999900,103.27000000000000,3783.65,716.9,50.73999999999980,95.44000000000000,3893.75,670.6,46.32999999999990,81.09000000000000,4005.81,599.85,45.23000000000000,74.70999999999990,3623.53,621.62,50.07999999999990,73.18999999999990,3093.06,626.52,62.42000000000010,93.62,3369.88,540.49,27.94999999999980,48.59000000000000,3412.47,511.42,20.43000000000030,36.53000000000000,3737.55,562.12,22.73000000000000,49.07000000000010,2783.88,524.81,26.759999999999800,42.24000000000000,3828.3,759.08,17.649999999999600,16.780000000000000,3898.95,549.63,21.5,45.5,4369.33,558.56,19.26000000000020,42.80000000000010
11,3400.65,731.46,41.88999999999990,100.55000000000000,3530.85,540.12,22.790000000000000,49.60000000000000,3603.19,693.04,44.98000000000000,80.48000000000000,4002.9,686.48,43.09999999999990,96.59000000000010,3765.77,613.14,33.42999999999980,63.16000000000000,3894.67,585.87,25.09999999999990,59.85000000000000,3998.13,541.05,30.96000000000000,42.31000000000010,4259.53,612.52,44.93000000000030,72.75,3783.45,503.04,19.19000000000010,37.769999999999900,3523.86,501.84,17.559999999999900,34.04000000000000,3535.71,708.07,46.809999999999900,103.27000000000000,3783.01,717.08,50.73999999999980,95.43000000000000,3892.24,670.17,46.33000000000040,81.08000000000000,4005.33,599.87,44.90000000000010,74.68999999999990,3621.93,621.28,50.08000000000040,73.18000000000010,3091.5,626.52,62.409999999999900,93.62,3369.28,540.47,27.94999999999980,48.57999999999990,3412.94,511.45,20.44000000000010,36.53000000000000,3737.63,562.04,22.73000000000000,49.06000000000010,2782.95,524.77,26.76000000000020,42.24000000000000,3822.62,760.49,17.65000000000010,16.780000000000000,3899.38,549.61,21.5,45.51000000000000,4369.33,558.53,19.26000000000020,42.80000000000010
12,3406.09,731.03,41.88999999999990,100.56000000000000,3530.58,540.02,22.790000000000000,49.610000000000000,3603.21,692.94,45.38999999999990,78.8599999999999,4002.34,685.89,43.08999999999970,96.59000000000010,3766.18,613.21,33.440000000000100,63.16000000000000,3894.66,585.87,25.100000000000400,59.85000000000000,3998.54,541.16,30.96000000000000,42.31000000000010,4258.38,612.49,44.9399999999996,72.75,3783.8,503.11,19.1899999999996,37.77000000000000,3523.81,501.83,17.559999999999900,34.04000000000000,3536.26,709.03,46.809999999999900,103.28000000000000,3782.37,717.26,50.75,95.43000000000010,3890.73,669.73,46.32999999999990,81.09000000000000,4004.84,599.88,44.58999999999970,74.68000000000000,3620.33,620.94,50.07999999999990,73.18000000000000,3089.94,626.52,62.409999999999900,93.62,3368.68,540.45,27.95000000000030,48.57999999999990,3413.42,511.48,20.42999999999980,36.54000000000000,3737.71,561.95,22.73999999999980,49.059999999999900,2782.81,524.77,26.76000000000020,42.24000000000000,3816.93,761.9,17.65000000000010,16.780000000000000,3899.8,549.6,21.5,45.5,4369.33,558.5,19.26000000000020,42.80000000000000
13,3411.54,730.61,41.88999999999990,100.55000000000000,3530.31,539.93,22.800000000000200,49.610000000000000,3603.23,692.83,45.80000000000020,77.26000000000000,4001.77,685.31,43.09999999999990,96.59000000000010,3766.59,613.28,33.440000000000100,63.15000000000000,3894.64,585.87,25.09999999999990,59.85000000000000,3998.96,541.28,30.94999999999980,42.31000000000010,4257.23,612.46,44.94000000000050,72.76000000000000,3784.15,503.18,19.19000000000010,37.77000000000000,3523.77,501.82,17.550000000000200,34.04000000000000,3536.8,710.0,46.809999999999900,103.28000000000000,3781.74,717.43,50.74000000000020,95.44000000000000,3889.22,669.3,46.34000000000020,81.09000000000000,4004.36,599.9,44.25999999999980,74.66000000000000,3618.73,620.59,50.07000000000020,73.18999999999990,3088.37,626.52,62.42000000000010,93.62,3368.08,540.42,27.95000000000030,48.59000000000000,3413.89,511.52,20.43000000000030,36.53000000000000,3737.8,561.86,22.73000000000000,49.059999999999900,2782.67,524.77,26.759999999999800,42.24000000000000,3811.25,763.31,17.65000000000010,16.780000000000100,3900.23,549.58,21.5,45.51000000000000,4369.33,558.47,19.26000000000020,42.80000000000000
14,3416.98,730.18,41.88999999999990,100.55000000000000,3530.05,539.84,22.790000000000000,49.610000000000000,3603.26,692.72,46.19999999999980,75.65000000000000,4001.21,684.72,43.09000000000020,96.58999999999990,3767.0,613.34,33.440000000000100,63.16000000000000,3894.63,585.87,25.09999999999990,59.85000000000000,3999.37,541.39,30.96000000000000,42.31000000000010,4256.08,612.43,44.94000000000050,72.7600000000001,3784.5,503.25,19.19000000000010,37.77000000000000,3523.72,501.81,17.5600000000004,34.04000000000000,3537.35,710.97,46.809999999999900,103.28000000000000,3781.1,717.61,50.74000000000020,95.43000000000000,3887.71,668.86,46.34000000000020,81.09000000000000,4003.88,599.92,43.92999999999980,74.64000000000000,3617.13,620.25,50.06999999999970,73.18000000000000,3086.81,626.52,62.409999999999900,93.62,3367.48,540.4,27.94999999999980,48.59000000000000,3414.37,511.55,20.43000000000030,36.53000000000000,3737.88,561.77,22.73000000000000,49.06000000000010,2782.53,524.77,26.759999999999800,42.24000000000000,3805.56,764.72,17.65000000000010,16.780000000000000,3900.66,549.57,21.5,45.51000000000000,4369.32,558.45,19.26000000000020,42.79000000000000
15,3422.42,729.75,41.88999999999990,100.56000000000000,3529.78,539.75,22.790000000000000,49.610000000000000,3603.28,692.62,46.61999999999990,74.03000000000000,4000.64,684.14,43.09000000000020,96.59000000000010,3767.42,613.41,33.42999999999980,63.16000000000010,3894.62,585.87,25.09999999999990,59.85000000000000,3999.78,541.51,30.95999999999960,42.31000000000010,4254.93,612.4,44.9399999999996,72.76000000000000,3784.85,503.32,19.19000000000010,37.77000000000000,3523.67,501.8,17.559999999999900,34.05000000000000,3537.89,711.94,46.809999999999900,103.28000000000000,3780.46,717.79,50.75,95.43000000000010,3886.2,668.43,46.34000000000020,81.09000000000000,4003.39,599.94,43.61000000000010,74.61999999999990,3615.53,619.91,50.06999999999970,73.18000000000010,3085.25,626.52,62.409999999999900,93.62,3366.88,540.38,27.94000000000010,48.59000000000000,3414.84,511.58,20.42999999999980,36.53000000000000,3737.96,561.68,22.73000000000000,49.06000000000010,2782.39,524.77,26.76000000000020,42.24000000000000,3800.99,767.14,17.65000000000010,16.780000000000000,3901.09,549.56,21.48999999999980,45.5,4369.32,558.42,19.26000000000020,42.79000000000010
16,3427.87,729.33,41.89000000000030,100.55000000000000,3529.51,539.66,22.790000000000000,49.60000000000000,3603.3,692.51,47.02999999999980,72.42000000000000,4000.07,683.55,43.09999999999990,96.59000000000010,3767.83,613.48,33.43000000000030,63.15000000000000,3894.61,585.87,25.09999999999990,59.85000000000000,4000.19,541.62,30.96000000000000,42.309999999999900,4253.78,612.37,44.94000000000050,72.76000000000000,3785.19,503.39,19.19999999999980,37.77000000000000,3523.62,501.8,17.559999999999900,34.04000000000000,3541.33,713.19,46.809999999999900,103.28000000000000,3779.83,717.97,50.74000000000020,95.43000000000000,3884.69,668.0,46.34000000000020,81.08000000000000,4002.91,599.96,43.2800000000002,74.59999999999990,3613.93,619.56,50.07000000000020,73.19000000000010,3083.69,626.52,62.409999999999900,93.62,3366.27,540.36,27.94999999999980,48.59000000000000,3415.32,511.61,20.42999999999980,36.53000000000000,3738.04,561.59,22.74000000000020,49.059999999999900,2782.24,524.77,26.76000000000020,42.24000000000000,3796.43,769.55,17.640000000000300,16.780000000000100,3901.51,549.54,21.5,45.51000000000000,4369.32,558.39,19.26000000000020,42.80000000000010
17,3433.31,728.9,41.88999999999990,100.55000000000000,3529.24,539.57,22.800000000000200,49.59999999999990,3607.96,691.87,46.73999999999980,73.57000000000010,3999.51,682.97,43.08999999999970,96.58999999999990,3768.24,613.54,33.440000000000100,63.16000000000010,3894.6,585.87,25.090000000000100,59.85000000000000,4000.6,541.73,30.96000000000000,42.309999999999900,4252.63,612.34,44.9399999999996,72.76000000000000,3785.54,503.46,19.19999999999980,37.76000000000010,3523.57,501.79,17.559999999999900,34.04000000000000,3544.77,714.43,46.809999999999900,103.28000000000000,3779.19,718.14,50.73999999999980,95.44000000000000,3883.19,667.56,46.32999999999990,81.09000000000000,4002.43,599.98,42.96000000000000,74.57999999999990,3612.33,619.22,50.07000000000020,73.18000000000000,3082.12,626.52,62.42000000000010,93.62,3365.67,540.34,27.94999999999980,48.58999999999990,3415.79,511.64,20.42999999999980,36.53000000000000,3738.13,561.5,22.73000000000000,49.059999999999900,2782.1,524.77,26.76000000000020,42.24000000000000,3791.86,771.97,17.65000000000010,16.780000000000000,3901.94,549.53,21.5,45.51000000000000,4369.32,558.36,19.26000000000020,42.80000000000000
18,3438.75,728.47,41.88999999999990,100.56000000000000,3528.98,539.47,22.790000000000000,49.610000000000000,3612.62,691.23,46.440000000000100,74.72000000000000,3998.94,682.38,43.09000000000020,96.59000000000010,3768.65,613.61,33.440000000000100,63.16000000000000,3894.58,585.87,25.09999999999990,59.85000000000000,4001.01,541.85,30.95999999999960,42.309999999999900,4251.49,612.31,44.93000000000030,72.7600000000001,3785.89,503.52,19.20000000000030,37.77000000000000,3523.52,501.78,17.559999999999900,34.04000000000010,3548.21,715.68,46.809999999999900,103.28000000000000,3778.55,718.32,50.73999999999980,95.43000000000000,3881.68,667.13,46.33000000000040,81.09000000000000,4001.94,600.0,42.63999999999990,74.56000000000000,3610.73,618.88,50.07000000000020,73.18000000000000,3080.56,626.52,62.409999999999900,93.62,3365.07,540.32,27.94999999999980,48.58999999999990,3416.27,511.67,20.42999999999980,36.53000000000000,3738.21,561.41,22.73000000000000,49.06000000000010,2781.96,524.77,26.759999999999800,42.24000000000000,3787.29,774.38,17.65000000000010,16.780000000000000,3902.37,549.52,21.5,45.5,4369.32,558.33,19.25,42.80000000000000
19,3444.2,728.05,41.89000000000030,100.55000000000000,3528.71,539.38,22.790000000000000,49.610000000000000,3617.28,690.58,46.14999999999960,75.87,3998.37,681.8,43.09999999999990,96.59000000000010,3769.07,613.68,33.42999999999980,63.15000000000010,3894.57,585.87,25.09999999999990,59.85000000000000,4001.43,541.96,30.95000000000030,42.309999999999900,4250.34,612.28,44.93000000000030,72.76000000000000,3786.24,503.59,19.20000000000030,37.77000000000000,3523.47,501.77,17.5600000000004,34.040000000000000,3551.65,716.92,46.809999999999900,103.28000000000000,3777.92,718.5,50.73999999999980,95.43000000000000,3880.17,666.7,46.32999999999990,81.07999999999990,4001.46,600.02,42.309999999999900,74.54000000000000,3609.13,618.54,50.06999999999970,73.18000000000010,3079.0,626.52,62.409999999999900,93.62,3364.47,540.3,27.95000000000030,48.59000000000000,3416.74,511.7,20.43000000000030,36.53000000000000,3738.29,561.32,22.74000000000020,49.059999999999900,2781.82,524.77,26.759999999999800,42.24000000000000,3782.72,776.8,17.65000000000010,16.780000000000100,3902.79,549.5,21.5,45.51000000000000,4369.31,558.3,19.25999999999930,42.80000000000010
20,3449.64,727.62,41.89000000000030,100.56000000000000,3528.44,539.29,22.790000000000000,49.610000000000000,3621.94,689.94,45.86000000000010,77.02000000000000,3997.81,681.21,43.09000000000020,96.58999999999990,3769.48,613.74,33.42999999999980,63.16000000000000,3894.56,585.87,25.09999999999990,59.85000000000000,4001.84,542.08,30.96000000000000,42.309999999999900,4249.19,612.26,44.94000000000050,72.75,3786.59,503.66,19.19999999999980,37.769999999999900,3523.43,501.76,17.550000000000200,34.040000000000000,3555.09,718.17,46.809999999999900,103.28000000000000,3777.28,718.68,50.73999999999980,95.43000000000010,3878.66,666.26,46.34000000000020,81.09000000000000,4000.98,600.04,41.98000000000000,74.52000000000000,3607.53,618.19,50.06999999999970,73.18999999999990,3077.43,626.52,62.42000000000010,93.62,3363.87,540.28,27.95000000000030,48.58000000000000,3417.21,511.73,20.44000000000010,36.53000000000000,3738.38,561.23,22.73000000000000,49.059999999999900,2781.68,524.77,26.76000000000020,42.24000000000000,3778.16,779.21,17.640000000000300,16.780000000000000,3903.22,549.49,21.5,45.5,4369.31,558.28,19.25999999999930,42.79000000000010
21,3455.08,727.2,41.88999999999990,100.55000000000000,3528.17,539.2,22.799999999999700,49.6099999999999,3626.6,689.3,45.57000000000020,78.17000000000010,3997.24,680.63,43.09000000000020,96.59000000000010,3769.89,613.81,33.440000000000100,63.16000000000010,3894.55,585.87,25.09999999999990,59.85000000000000,4002.25,542.19,30.96000000000000,42.309999999999900,4248.04,612.23,44.9399999999996,72.75,3786.94,503.73,19.19999999999980,37.77000000000000,3524.0,501.79,17.559999999999900,34.04000000000000,3558.53,719.41,46.809999999999900,103.28000000000000,3776.64,718.85,50.74000000000020,95.43999999999990,3877.15,665.83,46.33999999999970,81.08999999999990,4000.49,600.06,41.67000000000010,74.5,3605.93,617.85,50.07000000000020,73.18000000000000,3075.87,626.52,62.41000000000030,93.62,3363.27,540.26,27.94999999999980,48.58000000000000,3417.69,511.76,20.42999999999980,36.53000000000000,3738.46,561.14,22.73000000000000,49.06000000000010,2781.54,524.77,26.76000000000020,42.24000000000000,3778.82,779.27,17.649999999999600,16.780000000000000,3903.65,549.47,21.5,45.51000000000000,4369.31,558.25,19.25999999999930,42.79000000000000
22,3460.53,726.77,41.88999999999990,100.55000000000000,3527.91,539.11,22.790000000000000,49.610000000000000,3631.27,688.65,45.27000000000000,79.33000000000000,3996.67,680.04,43.09999999999990,96.59000000000010,3769.02,614.08,33.440000000000100,63.16000000000000,3894.53,585.87,25.09999999999990,59.85000000000000,4002.66,542.31,30.96000000000000,42.31000000000010,4246.89,612.2,44.9399999999996,72.75,3787.29,503.8,19.19999999999980,37.77000000000000,3524.57,501.83,17.559999999999900,34.04000000000000,3561.97,720.66,46.8100000000004,103.28000000000000,3776.0,719.03,50.75,95.43000000000010,3875.64,665.4,46.34000000000020,81.08000000000000,4000.01,600.08,41.33999999999970,74.4799999999999,3604.33,617.51,50.07000000000020,73.18000000000010,3074.31,626.52,62.409999999999900,93.62,3362.67,540.23,27.94999999999980,48.59000000000000,3418.16,511.79,20.44000000000010,36.54000000000000,3738.54,561.05,22.73000000000000,49.06000000000010,2781.4,524.77,26.759999999999800,42.24000000000000,3779.49,779.33,17.65000000000010,16.790000000000000,3904.08,549.46,21.5,45.51000000000000,4369.31,558.22,19.25999999999930,42.80000000000000
23,3465.97,726.34,41.89000000000030,100.56000000000000,3527.64,539.02,22.790000000000000,49.60000000000000,3635.93,688.01,44.970000000000300,80.48000000000000,3996.11,679.46,43.08999999999970,96.58999999999990,3768.15,614.36,33.440000000000100,63.15000000000000,3894.52,585.87,25.09999999999990,59.85000000000000,4003.07,542.42,30.96000000000000,42.31000000000010,4245.74,612.17,44.94000000000050,72.75,3787.64,503.87,19.20000000000030,37.77000000000000,3525.15,501.86,17.549999999999700,34.040000000000000,3565.41,721.9,46.809999999999900,103.28000000000000,3775.37,719.21,50.74000000000020,95.43000000000000,3874.13,664.96,46.33999999999970,81.08999999999990,3999.52,600.1,41.02000000000000,74.45999999999990,3602.73,617.16,50.07000000000020,73.19000000000010,3072.75,626.52,62.409999999999900,93.62,3362.07,540.21,27.94999999999980,48.58999999999990,3418.64,511.82,20.43000000000030,36.54000000000000,3738.62,560.96,22.74000000000020,49.059999999999900,2781.26,524.77,26.759999999999800,42.24000000000000,3780.16,779.4,17.640000000000300,16.780000000000000,3904.5,549.45,21.5,45.5,4369.3,558.19,19.26000000000020,42.80000000000000
